image_id,text_gt
plate_0283,51F22029
plate_0284,51F61712
plate_0285,86A06844
plate_0286,86A06844
plate_0287,93LD00103
plate_0288,51F88270
plate_0289,51F88270
plate_0290,51F88270
plate_0291,51F88270
plate_0292,51F88270
plate_0293,51F04275
plate_0294,51F78396
plate_0295,51F78396
plate_0296,51G21797
plate_0297,62A05516
plate_0298,62A05516
plate_0299,51G21670
plate_0300,51F59881
plate_0301,51F59881
plate_0302,51F22476
plate_0303,56N7186
plate_0304,51A7244
plate_0305,51F31118
plate_0306,51F25481
plate_0307,51A01204
plate_0308,51A01204
plate_0309,50LD04411
plate_0310,51A85325
plate_0311,51A85325
plate_0312,51F64619
plate_0313,51F64619
plate_0314,47281
plate_0315,51G21748
plate_0316,51G21748
plate_0317,51G10096
plate_0318,51G10096
plate_0319,51G37307
plate_0320,51G37307
plate_0321,51G39466
plate_0322,51F06532
plate_0323,51F06532
plate_0324,51F61712
plate_0325,51A77529
plate_0326,51A77529
plate_0327,93LD00103
plate_0328,93LD00103
plate_0329,51F88270
plate_0330,51F88270
plate_0331,51F88270
plate_0332,51F88270
plate_0333,51F22029
plate_0334,51G01440
plate_0335,51C59323
plate_0336,51A05227
plate_0337,51F15585
plate_0338,51G21670
plate_0339,51F59881
plate_0340,51F63034
plate_0341,51A01204
plate_0342,51F06948
plate_0343,51G39466
plate_0344,51F07973
plate_0345,51F88270
plate_0346,51F16159
plate_0347,61A22959
plate_0348,51G37307
plate_0349,51A72110
plate_0350,51A96141
plate_0351,51F44614
plate_0352,51F44614
plate_0353,51F22403
plate_0354,51A69172
plate_0355,51A69172
plate_0356,51F16159
plate_0357,61A39534
plate_0358,51G51332
plate_0359,51F22261
plate_0360,51F58260
plate_0361,51F64665
plate_0362,51G47281
plate_0363,51F59011
plate_0364,61A30001
plate_0365,61A22959
plate_0366,51G27471
plate_0367,56N0666
plate_0368,51G47281
plate_0369,51A89714
plate_0370,51A89714
plate_0371,51F49142
plate_0372,1F49142
plate_0373,51B21666
plate_0374,51B21666
plate_0375,51F20754
plate_0376,51G42861
plate_0377,51A96141
plate_0378,51F31118
plate_0379,51A96141
plate_0380,51A96141
plate_0381,51A96141
plate_0382,60A03868
plate_0383,50LD04411
plate_0384,51A85325
plate_0385,51A85325
plate_0386,51F44614
plate_0387,51F63034
plate_0388,51F63034
plate_0389,51F24403
plate_0390,51F24403
plate_0391,51A72078
plate_0392,51A72078
plate_0393,51G51332
plate_0394,51F69545
plate_0395,51F15585
plate_0396,51F15585
plate_0397,51G01440
plate_0398,51G01440
plate_0399,51C59323
plate_0400,51C59323
plate_0401,51F22261
plate_0402,51F59881
plate_0403,51F22261
plate_0404,51A01204
plate_0405,51A01204
plate_0406,51F06948
plate_0407,V3993
plate_0408,51G39466
plate_0409,51F07973
plate_0410,51F07973
plate_0411,51F07973
plate_0412,51F61712
plate_0413,51F61712
plate_0414,51F88270
plate_0415,51F55827
plate_0416,51F63034
plate_0417,51A69172
plate_0418,51A69172
plate_0419,61A22959
plate_0420,61A22959
plate_0421,51G10209
plate_0422,51G10209
plate_0423,60A35981
plate_0424,51A60216
plate_0425,51A72110
plate_0426,29A51796
plate_0427,29A51796
plate_0428,51F44614
plate_0429,51F44614
plate_0430,51F44614
plate_0431,51F44614
plate_0432,29A51796
plate_0433,29A51796
plate_0434,51A60216
plate_0435,51A60216
plate_0436,51F22403
plate_0437,51F22403
plate_0438,61A39534
plate_0439,61A39534
plate_0440,51G51332
plate_0441,51G51332
plate_0442,51F15585
plate_0443,51F15585
plate_0444,51F22261
plate_0445,60A35981
plate_0446,51F59011
plate_0447,F58250
plate_0448,51F59011
plate_0449,61A30001
plate_0450,51F02687
plate_0451,51G51936
plate_0452,51G51936
plate_0453,51A69172
plate_0454,51A69172
plate_0455,51F16159
plate_0456,5F16159
plate_0457,51G47281
plate_0458,51G49160
plate_0459,51F20754
plate_0460,51F20454
plate_0461,51A89714
plate_0462,51A89714
plate_0463,50LD04411
plate_0464,51A85235
plate_0465,1A85325
plate_0466,51G25181
plate_0467,51F49142
plate_0468,51B21666
plate_0469,51A90905
plate_0470,51G10096
plate_0471,51G10096
plate_0472,48A05177
plate_0473,48A05177
plate_0474,G01177
plate_0475,51A72110
plate_0476,51A72110
plate_0477,51G37307
plate_0478,1G37307
plate_0479,60A35981
plate_0480,51G47
plate_0481,51A96141
plate_0482,51A96141
plate_0483,51A96141
plate_0484,51A96141
plate_0485,60A21418
plate_0486,51A77529
plate_0487,51A77529
plate_0488,51F44614
plate_0489,51F44614
plate_0490,51G51008
plate_0491,51F24403
plate_0492,51F79512
plate_0493,51F79512
plate_0494,51A05227
plate_0495,51A05227
plate_0496,5F59881
plate_0497,51F59881
plate_0498,51F07973
plate_0499,51F61712
plate_0500,51A55433
plate_0501,51F88270
plate_0502,30E00090
plate_0503,90E00090
plate_0504,51F63034
plate_0505,51F63034
plate_0506,51A69172
plate_0507,51G10209
plate_0508,51G51008
plate_0509,51F35613
plate_0510,51A72110
plate_0511,51A96141
plate_0512,51A96141
plate_0513,51F44614
plate_0514,51F24403
plate_0515,51G51332
plate_0516,51F15585
plate_0517,5F15585
plate_0518,5F15585
plate_0519,5F15585
plate_0520,51F16159
plate_0521,5F16159
plate_0522,5F16159A
plate_0523,51F59011
plate_0524,51G20536
plate_0525,51F51380
plate_0526,51F21255
plate_0527,51F69259
plate_0528,51F69259
plate_0529,51F13251
plate_0530,51F13251
plate_0531,51F15585
plate_0532,29A23950
plate_0533,51F15585
plate_0534,51F15585
plate_0535,51G48154
plate_0536,51G48154
plate_0537,51F77836
plate_0538,51F77836
plate_0539,51F98466
plate_0540,51F98466
plate_0541,51F21255
plate_0542,51F27809
plate_0543,51F27809
plate_0544,51G20536
plate_0545,51F22261
plate_0546,30V3993
plate_0547,30V3993
plate_0548,51G10096
plate_0549,51A75932
plate_0550,60LD4379
